newspaper,date,edition,page_number,scale,year
publimetro,2018-02-29,default,3,NA,2018
publimetro,2018-02-29,default,13,NA,2018
publimetro,2018-02-29,default,6,NA,2018
publimetro,2018-02-29,default,15,NA,2018
publimetro,2018-02-13,default,19,NA,2018
publimetro,2018-02-13,default,10,NA,2018
publimetro,2018-02-13,default,1,NA,2018
publimetro,2018-02-13,default,12,NA,2018
publimetro,2018-02-13,default,8,NA,2018
publimetro,2018-02-13,default,11,NA,2018
publimetro,2018-02-13,default,15,NA,2018
publimetro,2018-02-13,default,20,NA,2018
publimetro,2018-02-13,default,2,NA,2018
publimetro,2018-02-13,default,6,NA,2018
publimetro,2018-02-13,default,9,NA,2018
publimetro,2018-02-13,default,7,NA,2018
publimetro,2018-02-13,default,14,NA,2018
publimetro,2018-02-13,default,17,NA,2018
publimetro,2018-02-13,default,16,NA,2018
publimetro,2018-02-13,default,13,NA,2018
publimetro,2018-02-13,default,4,NA,2018
publimetro,2018-02-13,default,3,NA,2018
publimetro,2018-02-13,default,5,NA,2018
publimetro,2018-02-13,default,18,NA,2018
publimetro,2018-02-16,default,9,NA,2018
publimetro,2018-02-16,default,3,NA,2018
publimetro,2018-02-16,default,10,NA,2018
publimetro,2018-02-16,default,20,NA,2018
publimetro,2018-02-16,default,16,NA,2018
publimetro,2018-02-16,default,15,NA,2018
publimetro,2018-02-16,default,1,NA,2018
publimetro,2018-02-16,default,8,NA,2018
publimetro,2018-02-16,default,19,NA,2018
publimetro,2018-02-16,default,4,NA,2018
publimetro,2018-02-16,default,5,NA,2018
publimetro,2018-02-16,default,11,NA,2018
publimetro,2018-02-16,default,6,NA,2018
publimetro,2018-02-16,default,13,NA,2018
publimetro,2018-02-16,default,14,NA,2018
publimetro,2018-02-16,default,12,NA,2018
publimetro,2018-02-16,default,2,NA,2018
publimetro,2018-02-16,default,17,NA,2018
publimetro,2018-02-16,default,18,NA,2018
publimetro,2018-02-16,default,7,NA,2018
publimetro,2018-02-30,default,3,NA,2018
publimetro,2018-02-30,default,7,NA,2018
publimetro,2018-02-30,default,6,NA,2018
publimetro,2018-02-30,default,10,NA,2018
publimetro,2018-02-30,default,12,NA,2018
publimetro,2018-02-30,default,14,NA,2018
publimetro,2018-02-30,default,4,NA,2018
publimetro,2018-02-30,default,8,NA,2018
publimetro,2018-02-30,default,5,NA,2018
publimetro,2018-02-30,default,16,NA,2018
publimetro,2018-02-30,default,13,NA,2018
publimetro,2018-02-30,default,11,NA,2018
publimetro,2018-02-30,default,1,NA,2018
publimetro,2018-02-30,default,15,NA,2018
publimetro,2018-02-30,default,2,NA,2018
publimetro,2018-02-30,default,9,NA,2018
publimetro,2018-02-06,default,10,NA,2018
publimetro,2018-02-06,default,6,NA,2018
publimetro,2018-02-06,default,1,NA,2018
publimetro,2018-02-06,default,15,NA,2018
publimetro,2018-02-06,default,7,NA,2018
publimetro,2018-02-06,default,9,NA,2018
publimetro,2018-02-06,default,16,NA,2018
publimetro,2018-02-06,default,11,NA,2018
publimetro,2018-02-06,default,14,NA,2018
publimetro,2018-02-06,default,8,NA,2018
publimetro,2018-02-06,default,2,NA,2018
publimetro,2018-02-06,default,3,NA,2018
publimetro,2018-02-06,default,13,NA,2018
publimetro,2018-02-06,default,5,NA,2018
publimetro,2018-02-06,default,4,NA,2018
publimetro,2018-02-06,default,12,NA,2018
publimetro,2018-02-22,default,8,NA,2018
publimetro,2018-02-22,default,21,NA,2018
publimetro,2018-02-22,default,5,NA,2018
publimetro,2018-02-22,default,7,NA,2018
publimetro,2018-02-22,default,17,NA,2018
publimetro,2018-02-22,default,3,NA,2018
publimetro,2018-02-22,default,15,NA,2018
publimetro,2018-02-22,default,9,NA,2018
publimetro,2018-02-22,default,2,NA,2018
publimetro,2018-02-22,default,16,NA,2018
publimetro,2018-02-22,default,23,NA,2018
publimetro,2018-02-22,default,13,NA,2018
publimetro,2018-02-22,default,19,NA,2018
publimetro,2018-02-22,default,24,NA,2018
publimetro,2018-02-22,default,12,NA,2018
publimetro,2018-02-22,default,18,NA,2018
publimetro,2018-02-22,default,6,NA,2018
publimetro,2018-02-22,default,4,NA,2018
publimetro,2018-02-22,default,22,NA,2018
publimetro,2018-02-22,default,14,NA,2018
publimetro,2018-02-22,default,20,NA,2018
publimetro,2018-02-22,default,11,NA,2018
publimetro,2018-02-22,default,10,NA,2018
publimetro,2018-02-22,default,1,NA,2018
publimetro,2018-02-20,default,12,NA,2018
publimetro,2018-02-20,default,5,NA,2018
publimetro,2018-02-20,default,14,NA,2018
publimetro,2018-02-20,default,11,NA,2018
publimetro,2018-02-20,default,3,NA,2018
publimetro,2018-02-20,default,15,NA,2018
publimetro,2018-02-20,default,10,NA,2018
publimetro,2018-02-20,default,4,NA,2018
publimetro,2018-02-20,default,9,NA,2018
publimetro,2018-02-20,default,13,NA,2018
